Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
5300,154.06,90.93,816518,481929,334589
7908,152.58,97.44,1206602.64,770555.52,436047.12
5370,154.06,90.93,827302.2,488294.1,339008.1
3003,421.89,364.69,1266935.67,1095164.07,171771.6
8158,651.21,524.96,5312571.18,4282623.68,1029947.5
5212,81.73,56.67,425976.76,295364.04,130612.72
577,47.45,31.79,27378.65,18342.83,9035.82
7697,152.58,97.44,1174408.26,749995.68,424412.58
2043,205.7,117.11,420245.1,239255.73,180989.37
6122,152.58,97.44,934094.76,596527.68,337567.08
4469,152.58,97.44,681880.02,435459.36,246420.66
8652,152.58,97.44,1320122.16,843050.88,477071.28
2269,668.27,502.54,1516304.63,1140263.26,376041.37
5951,47.45,31.79,282374.95,189182.29,93192.66
2357,205.7,117.11,484834.9,276028.27,208806.63
1182,152.58,97.44,180349.56,115174.08,65175.48
4148,154.06,90.93,639040.88,377177.64,261863.24
10,255.28,159.42,2552.8,1594.2,958.6
9555,437.2,263.33,4177446,2516118.15,1661327.85
599,47.45,31.79,28422.55,19042.21,9380.34
2992,9.33,6.92,27915.36,20704.64,7210.72
3613,154.06,90.93,556618.78,328530.09,228088.69
1374,205.7,117.11,282631.8,160909.14,121722.66
2216,9.33,6.92,20675.28,15334.72,5340.56
4114,109.28,35.84,449577.92,147445.76,302132.16
2072,437.2,263.33,905878.4,545619.76,360258.64
3127,205.7,117.11,643223.9,366202.97,277020.93
1346,9.33,6.92,12558.18,9314.32,3243.86
2827,47.45,31.79,134141.15,89870.33,44270.82
700,81.73,56.67,57211,39669,17542
127,421.89,364.69,53580.03,46315.63,7264.4
3299,255.28,159.42,842168.72,525926.58,316242.14
4442,205.7,117.11,913719.4,520202.62,393516.78
4808,47.45,31.79,228139.6,152846.32,75293.28
7685,421.89,364.69,3242224.65,2802642.65,439582
3391,109.28,35.84,370568.48,121533.44,249035.04
4272,651.21,524.96,2781969.12,2242629.12,539340
9710,651.21,524.96,6323249.1,5097361.6,1225887.5
1116,9.33,6.92,10412.28,7722.72,2689.56
6931,668.27,502.54,4631779.37,3483104.74,1148674.63
7630,437.2,263.33,3335836,2009207.9,1326628.1
718,437.2,263.33,313909.6,189070.94,124838.66
5730,255.28,159.42,1462754.4,913476.6,549277.8
9234,205.7,117.11,1899433.8,1081393.74,818040.06
9829,421.89,364.69,4146756.81,3584538.01,562218.8
3144,421.89,364.69,1326422.16,1146585.36,179836.8
6841,255.28,159.42,1746370.48,1090592.22,655778.26
5612,205.7,117.11,1154388.4,657221.32,497167.08
6181,668.27,502.54,4130576.87,3106199.74,1024377.13
2302,81.73,56.67,188142.46,130454.34,57688.12
9761,651.21,524.96,6356460.81,5124134.56,1232326.25
1377,255.28,159.42,351520.56,219521.34,131999.22
1997,47.45,31.79,94757.65,63484.63,31273.02
3502,81.73,56.67,286218.46,198458.34,87760.12
9803,421.89,364.69,4135787.67,3575056.07,560731.6
1842,205.7,117.11,378899.4,215716.62,163182.78
2592,651.21,524.96,1687936.32,1360696.32,327240
2059,152.58,97.44,314162.22,200628.96,113533.26
2279,421.89,364.69,961487.31,831128.51,130358.8
2319,154.06,90.93,357265.14,210866.67,146398.47
3277,651.21,524.96,2134015.17,1720293.92,413721.25
3284,81.73,56.67,268401.32,186104.28,82297.04
2501,421.89,364.69,1055146.89,912089.69,143057.2
8120,437.2,263.33,3550064,2138239.6,1411824.4
9365,205.7,117.11,1926380.5,1096735.15,829645.35
2490,152.58,97.44,379924.2,242625.6,137298.6
5783,47.45,31.79,274403.35,183841.57,90561.78
4559,109.28,35.84,498207.52,163394.56,334812.96
6168,668.27,502.54,4121889.36,3099666.72,1022222.64
4990,255.28,159.42,1273847.2,795505.8,478341.4
7436,152.58,97.44,1134584.88,724563.84,410021.04
6947,154.06,90.93,1070254.82,631690.71,438564.11
8999,421.89,364.69,3796588.11,3281845.31,514742.8
6095,9.33,6.92,56866.35,42177.4,14688.95
2773,421.89,364.69,1169900.97,1011285.37,158615.6
598,205.7,117.11,123008.6,70031.78,52976.82
3170,81.73,56.67,259084.1,179643.9,79440.2
1119,152.58,97.44,170737.02,109035.36,61701.66
7106,437.2,263.33,3106743.2,1871222.98,1235520.22
823,9.33,6.92,7678.59,5695.16,1983.43
3995,154.06,90.93,615469.7,363265.35,252204.35
5374,152.58,97.44,819964.92,523642.56,296322.36
5749,255.28,159.42,1467604.72,916505.58,551099.14
2936,255.28,159.42,749502.08,468057.12,281444.96
6784,152.58,97.44,1035102.72,661032.96,374069.76
4173,668.27,502.54,2788690.71,2097099.42,691591.29
4013,9.33,6.92,37441.29,27769.96,9671.33
2248,81.73,56.67,183729.04,127394.16,56334.88
6851,154.06,90.93,1055465.06,622961.43,432503.63
2827,651.21,524.96,1840970.67,1484061.92,356908.75
7212,205.7,117.11,1483508.4,844597.32,638911.08
4073,9.33,6.92,38001.09,28185.16,9815.93
9509,437.2,263.33,4157334.8,2504004.97,1653329.83
6650,9.33,6.92,62044.5,46018,16026.5
657,152.58,97.44,100245.06,64018.08,36226.98
3722,437.2,263.33,1627258.4,980114.26,647144.14
69,651.21,524.96,44933.49,36222.24,8711.25
954,81.73,56.67,77970.42,54063.18,23907.24
9661,668.27,502.54,6456156.47,4855038.94,1601117.53
6509,668.27,502.54,4349769.43,3271032.86,1078736.57
3845,9.33,6.92,35873.85,26607.4,9266.45
1051,421.89,364.69,443406.39,383289.19,60117.2
9537,109.28,35.84,1042203.36,341806.08,700397.28
7745,152.58,97.44,1181732.1,754672.8,427059.3
6149,205.7,117.11,1264849.3,720109.39,544739.91
2254,437.2,263.33,985448.8,593545.82,391902.98
5596,154.06,90.93,862119.76,508844.28,353275.48
2743,47.45,31.79,130155.35,87199.97,42955.38
2293,255.28,159.42,585357.04,365550.06,219806.98
9876,47.45,31.79,468616.2,313958.04,154658.16
3153,81.73,56.67,257694.69,178680.51,79014.18
6816,437.2,263.33,2979955.2,1794857.28,1185097.92
7590,9.33,6.92,70814.7,52522.8,18291.9
9228,255.28,159.42,2355723.84,1471127.76,884596.08
7518,152.58,97.44,1147096.44,732553.92,414542.52
5276,109.28,35.84,576561.28,189091.84,387469.44
7352,205.7,117.11,1512306.4,860992.72,651313.68
5624,421.89,364.69,2372709.36,2051016.56,321692.8
4005,9.33,6.92,37366.65,27714.6,9652.05
3436,47.45,31.79,163038.2,109230.44,53807.76
6892,668.27,502.54,4605716.84,3463505.68,1142211.16
4376,668.27,502.54,2924349.52,2199115.04,725234.48
7926,205.7,117.11,1630378.2,928213.86,702164.34
6608,255.28,159.42,1686890.24,1053447.36,633442.88
1522,437.2,263.33,665418.4,400788.26,264630.14
797,152.58,97.44,121606.26,77659.68,43946.58
4594,651.21,524.96,2991658.74,2411666.24,579992.5
105,255.28,159.42,26804.4,16739.1,10065.3
6555,255.28,159.42,1673360.4,1044998.1,628362.3
198,205.7,117.11,40728.6,23187.78,17540.82
9320,668.27,502.54,6228276.4,4683672.8,1544603.6
9239,154.06,90.93,1423360.34,840102.27,583258.07
7304,437.2,263.33,3193308.8,1923362.32,1269946.48
7893,668.27,502.54,5274655.11,3966548.22,1308106.89
7419,47.45,31.79,352031.55,235850.01,116181.54
9323,205.7,117.11,1917741.1,1091816.53,825924.57
9080,255.28,159.42,2317942.4,1447533.6,870408.8
9194,47.45,31.79,436255.3,292277.26,143978.04
4201,651.21,524.96,2735733.21,2205356.96,530376.25
5669,421.89,364.69,2391694.41,2067427.61,324266.8
7197,109.28,35.84,786488.16,257940.48,528547.68
9413,152.58,97.44,1436235.54,917202.72,519032.82
4980,154.06,90.93,767218.8,452831.4,314387.4
3590,152.58,97.44,547762.2,349809.6,197952.6
6966,421.89,364.69,2938885.74,2540430.54,398455.2
3863,152.58,97.44,589416.54,376410.72,213005.82
5068,255.28,159.42,1293759.04,807940.56,485818.48
8398,154.06,90.93,1293795.88,763630.14,530165.74
3701,81.73,56.67,302482.73,209735.67,92747.06
7857,205.7,117.11,1616184.9,920133.27,696051.63
9778,81.73,56.67,799155.94,554119.26,245036.68
5405,205.7,117.11,1111808.5,632979.55,478828.95
2713,9.33,6.92,25312.29,18773.96,6538.33
6707,109.28,35.84,732940.96,240378.88,492562.08
4422,154.06,90.93,681253.32,402092.46,279160.86
9925,421.89,364.69,4187258.25,3619548.25,567710
9316,81.73,56.67,761396.68,527937.72,233458.96
5725,437.2,263.33,2502970,1507564.25,995405.75
4312,154.06,90.93,664306.72,392090.16,272216.56
7270,81.73,56.67,594177.1,411990.9,182186.2
8822,152.58,97.44,1346060.76,859615.68,486445.08
224,651.21,524.96,145871.04,117591.04,28280
4761,255.28,159.42,1215388.08,758998.62,456389.46
2752,109.28,35.84,300738.56,98631.68,202106.88
6543,154.06,90.93,1008014.58,594954.99,413059.59
5516,109.28,35.84,602788.48,197693.44,405095.04
1082,651.21,524.96,704609.22,568006.72,136602.5
1683,205.7,117.11,346193.1,197096.13,149096.97
7792,9.33,6.92,72699.36,53920.64,18778.72
6915,651.21,524.96,4503117.15,3630098.4,873018.75
8587,152.58,97.44,1310204.46,836717.28,473487.18
9377,47.45,31.79,444938.65,298094.83,146843.82
7882,109.28,35.84,861344.96,282490.88,578854.08
9732,81.73,56.67,795396.36,551512.44,243883.92
2589,651.21,524.96,1685982.69,1359121.44,326861.25
1145,154.06,90.93,176398.7,104114.85,72283.85
2124,205.7,117.11,436906.8,248741.64,188165.16
9280,81.73,56.67,758454.4,525897.6,232556.8
8400,421.89,364.69,3543876,3063396,480480
2301,668.27,502.54,1537689.27,1156344.54,381344.73
5831,651.21,524.96,3797205.51,3061041.76,736163.75
871,421.89,364.69,367466.19,317644.99,49821.2
1332,9.33,6.92,12427.56,9217.44,3210.12
8156,255.28,159.42,2082063.68,1300229.52,781834.16
4316,205.7,117.11,887801.2,505446.76,382354.44
9818,668.27,502.54,6561074.86,4933937.72,1627137.14
6698,152.58,97.44,1021980.84,652653.12,369327.72
4023,109.28,35.84,439633.44,144184.32,295449.12
2892,9.33,6.92,26982.36,20012.64,6969.72
1434,9.33,6.92,13379.22,9923.28,3455.94
9811,81.73,56.67,801853.03,555989.37,245863.66
5215,255.28,159.42,1331285.2,831375.3,499909.9
6870,205.7,117.11,1413159,804545.7,608613.3
1031,421.89,364.69,434968.59,375995.39,58973.2
5983,81.73,56.67,488990.59,339056.61,149933.98
7045,255.28,159.42,1798447.6,1123113.9,675333.7
1564,152.58,97.44,238635.12,152396.16,86238.96
3921,81.73,56.67,320463.33,222203.07,98260.26
527,437.2,263.33,230404.4,138774.91,91629.49
4824,47.45,31.79,228898.8,153354.96,75543.84
2286,109.28,35.84,249814.08,81930.24,167883.84
5417,668.27,502.54,3620018.59,2722259.18,897759.41
8755,421.89,364.69,3693646.95,3192860.95,500786
3865,205.7,117.11,795030.5,452630.15,342400.35
4348,255.28,159.42,1109957.44,693158.16,416799.28
832,437.2,263.33,363750.4,219090.56,144659.84
5979,109.28,35.84,653385.12,214287.36,439097.76
9481,81.73,56.67,774882.13,537288.27,237593.86
3063,47.45,31.79,145339.35,97372.77,47966.58
5477,205.7,117.11,1126618.9,641411.47,485207.43
7512,9.33,6.92,70086.96,51983.04,18103.92
6985,109.28,35.84,763320.8,250342.4,512978.4
3743,81.73,56.67,305915.39,212115.81,93799.58
4666,109.28,35.84,509900.48,167229.44,342671.04
8667,437.2,263.33,3789212.4,2282281.11,1506931.29
1687,109.28,35.84,184355.36,60462.08,123893.28
1701,9.33,6.92,15870.33,11770.92,4099.41
3711,651.21,524.96,2416640.31,1948126.56,468513.75
4756,668.27,502.54,3178292.12,2390080.24,788211.88
8903,152.58,97.44,1358419.74,867508.32,490911.42
2249,437.2,263.33,983262.8,592229.17,391033.63
7925,437.2,263.33,3464810,2086890.25,1377919.75
1092,205.7,117.11,224624.4,127884.12,96740.28
3942,437.2,263.33,1723442.4,1038046.86,685395.54
700,81.73,56.67,57211,39669,17542
2619,154.06,90.93,403483.14,238145.67,165337.47
2987,421.89,364.69,1260185.43,1089329.03,170856.4
2119,255.28,159.42,540938.32,337810.98,203127.34
2366,81.73,56.67,193373.18,134081.22,59291.96
3107,437.2,263.33,1358380.4,818166.31,540214.09
5753,9.33,6.92,53675.49,39810.76,13864.73
8746,81.73,56.67,714810.58,495635.82,219174.76
2561,81.73,56.67,209310.53,145131.87,64178.66
4701,109.28,35.84,513725.28,168483.84,345241.44
4703,421.89,364.69,1984148.67,1715137.07,269011.6
9135,205.7,117.11,1879069.5,1069799.85,809269.65
6595,668.27,502.54,4407240.65,3314251.3,1092989.35
2713,651.21,524.96,1766732.73,1424216.48,342516.25
5150,651.21,524.96,3353731.5,2703544,650187.5
8599,668.27,502.54,5746453.73,4321341.46,1425112.27
9783,255.28,159.42,2497404.24,1559605.86,937798.38
2456,154.06,90.93,378371.36,223324.08,155047.28
2406,154.06,90.93,370668.36,218777.58,151890.78
2450,109.28,35.84,267736,87808,179928
7435,255.28,159.42,1898006.8,1185287.7,712719.1
9243,109.28,35.84,1010075.04,331269.12,678805.92
1784,651.21,524.96,1161758.64,936528.64,225230
6000,154.06,90.93,924360,545580,378780
4866,109.28,35.84,531756.48,174397.44,357359.04
8386,47.45,31.79,397915.7,266590.94,131324.76
8596,152.58,97.44,1311577.68,837594.24,473983.44
4563,109.28,35.84,498644.64,163537.92,335106.72
7387,651.21,524.96,4810488.27,3877879.52,932608.75
5197,47.45,31.79,246597.65,165212.63,81385.02
8154,152.58,97.44,1244137.32,794525.76,449611.56
3451,437.2,263.33,1508777.2,908751.83,600025.37
311,154.06,90.93,47912.66,28279.23,19633.43
4989,205.7,117.11,1026237.3,584261.79,441975.51
5771,109.28,35.84,630654.88,206832.64,423822.24
7975,152.58,97.44,1216825.5,777084,439741.5
8950,668.27,502.54,5981016.5,4497733,1483283.5
3074,81.73,56.67,251238.02,174203.58,77034.44
6760,81.73,56.67,552494.8,383089.2,169405.6
3450,255.28,159.42,880716,549999,330717
8617,668.27,502.54,5758482.59,4330387.18,1428095.41
4766,668.27,502.54,3184974.82,2395105.64,789869.18
6433,109.28,35.84,702998.24,230558.72,472439.52
5186,152.58,97.44,791279.88,505323.84,285956.04
4624,421.89,364.69,1950819.36,1686326.56,264492.8
5376,81.73,56.67,439380.48,304657.92,134722.56
103,651.21,524.96,67074.63,54070.88,13003.75
8498,81.73,56.67,694541.54,481581.66,212959.88
2284,421.89,364.69,963596.76,832951.96,130644.8
217,421.89,364.69,91550.13,79137.73,12412.4
3082,668.27,502.54,2059608.14,1548828.28,510779.86
8696,651.21,524.96,5662922.16,4565052.16,1097870
6909,109.28,35.84,755015.52,247618.56,507396.96
4601,81.73,56.67,376039.73,260738.67,115301.06
682,47.45,31.79,32360.9,21680.78,10680.12
1094,668.27,502.54,731087.38,549778.76,181308.62
3813,421.89,364.69,1608666.57,1390562.97,218103.6
3841,437.2,263.33,1679285.2,1011450.53,667834.67
8216,9.33,6.92,76655.28,56854.72,19800.56
1005,651.21,524.96,654466.05,527584.8,126881.25
8306,255.28,159.42,2120355.68,1324142.52,796213.16
3250,651.21,524.96,2116432.5,1706120,410312.5
997,255.28,159.42,254514.16,158941.74,95572.42
3740,255.28,159.42,954747.2,596230.8,358516.4
5703,651.21,524.96,3713850.63,2993846.88,720003.75
8140,81.73,56.67,665282.2,461293.8,203988.4
4337,9.33,6.92,40464.21,30012.04,10452.17
4612,421.89,364.69,1945756.68,1681950.28,263806.4
1314,205.7,117.11,270289.8,153882.54,116407.26
3823,152.58,97.44,583313.34,372513.12,210800.22
3549,9.33,6.92,33112.17,24559.08,8553.09
8935,9.33,6.92,83363.55,61830.2,21533.35
454,205.7,117.11,93387.8,53167.94,40219.86
5612,154.06,90.93,864584.72,510299.16,354285.56
3944,154.06,90.93,607612.64,358627.92,248984.72
2019,651.21,524.96,1314792.99,1059894.24,254898.75
8434,109.28,35.84,921667.52,302274.56,619392.96
8819,421.89,364.69,3720647.91,3216201.11,504446.8
837,668.27,502.54,559341.99,420625.98,138716.01
9178,9.33,6.92,85630.74,63511.76,22118.98
567,437.2,263.33,247892.4,149308.11,98584.29
8758,154.06,90.93,1349257.48,796364.94,552892.54
9538,154.06,90.93,1469424.28,867290.34,602133.94
5724,255.28,159.42,1461222.72,912520.08,548702.64
2165,109.28,35.84,236591.2,77593.6,158997.6
740,437.2,263.33,323528,194864.2,128663.8
5361,109.28,35.84,585850.08,192138.24,393711.84
6970,109.28,35.84,761681.6,249804.8,511876.8
8541,421.89,364.69,3603362.49,3114817.29,488545.2
78,9.33,6.92,727.74,539.76,187.98
3618,255.28,159.42,923603.04,576781.56,346821.48
8228,47.45,31.79,390418.6,261568.12,128850.48
5007,152.58,97.44,763968.06,487882.08,276085.98
2084,109.28,35.84,227739.52,74690.56,153048.96
9621,154.06,90.93,1482211.26,874837.53,607373.73
4811,421.89,364.69,2029712.79,1754523.59,275189.2
6876,152.58,97.44,1049140.08,669997.44,379142.64
2072,152.58,97.44,316145.76,201895.68,114250.08
8684,255.28,159.42,2216851.52,1384403.28,832448.24
2031,47.45,31.79,96370.95,64565.49,31805.46
9460,109.28,35.84,1033788.8,339046.4,694742.4
5352,152.58,97.44,816608.16,521498.88,295109.28
6118,9.33,6.92,57080.94,42336.56,14744.38
5201,9.33,6.92,48525.33,35990.92,12534.41
8073,109.28,35.84,882217.44,289336.32,592881.12
7239,152.58,97.44,1104526.62,705368.16,399158.46
7237,9.33,6.92,67521.21,50080.04,17441.17
9632,152.58,97.44,1469650.56,938542.08,531108.48
8025,9.33,6.92,74873.25,55533,19340.25
3044,437.2,263.33,1330836.8,801576.52,529260.28
7352,437.2,263.33,3214294.4,1936002.16,1278292.24
639,109.28,35.84,69829.92,22901.76,46928.16
4630,9.33,6.92,43197.9,32039.6,11158.3
8081,255.28,159.42,2062917.68,1288273.02,774644.66
1776,154.06,90.93,273610.56,161491.68,112118.88
3533,154.06,90.93,544293.98,321255.69,223038.29
3201,205.7,117.11,658445.7,374869.11,283576.59
7660,81.73,56.67,626051.8,434092.2,191959.6
5821,152.58,97.44,888168.18,567198.24,320969.94
3627,109.28,35.84,396358.56,129991.68,266366.88
9050,47.45,31.79,429422.5,287699.5,141723
7096,437.2,263.33,3102371.2,1868589.68,1233781.52
4801,255.28,159.42,1225599.28,765375.42,460223.86
6232,437.2,263.33,2724630.4,1641072.56,1083557.84
7489,47.45,31.79,355353.05,238075.31,117277.74
1700,152.58,97.44,259386,165648,93738
4027,205.7,117.11,828353.9,471601.97,356751.93
6663,47.45,31.79,316159.35,211816.77,104342.58
3830,421.89,364.69,1615838.7,1396762.7,219076
6785,47.45,31.79,321948.25,215695.15,106253.1
8812,437.2,263.33,3852606.4,2320463.96,1532142.44
230,437.2,263.33,100556,60565.9,39990.1
3387,668.27,502.54,2263430.49,1702102.98,561327.51
7663,81.73,56.67,626296.99,434262.21,192034.78
4469,421.89,364.69,1885426.41,1629799.61,255626.8
2248,205.7,117.11,462413.6,263263.28,199150.32
1472,109.28,35.84,160860.16,52756.48,108103.68
9648,437.2,263.33,4218105.6,2540607.84,1677497.76
6310,651.21,524.96,4109135.1,3312497.6,796637.5
8027,255.28,159.42,2049132.56,1279664.34,769468.22
3398,255.28,159.42,867441.44,541709.16,325732.28
8051,668.27,502.54,5380241.77,4045949.54,1334292.23
9648,255.28,159.42,2462941.44,1538084.16,924857.28
2882,255.28,159.42,735716.96,459448.44,276268.52
4476,81.73,56.67,365823.48,253654.92,112168.56
8185,421.89,364.69,3453169.65,2984987.65,468182
9795,81.73,56.67,800545.35,555082.65,245462.7
2123,651.21,524.96,1382518.83,1114490.08,268028.75
19,668.27,502.54,12697.13,9548.26,3148.87
5362,152.58,97.44,818133.96,522473.28,295660.68
2063,9.33,6.92,19247.79,14275.96,4971.83
1064,651.21,524.96,692887.44,558557.44,134330
5340,421.89,364.69,2252892.6,1947444.6,305448
4895,152.58,97.44,746879.1,476968.8,269910.3
1765,154.06,90.93,271915.9,160491.45,111424.45
5018,9.33,6.92,46817.94,34724.56,12093.38
5752,651.21,524.96,3745759.92,3019569.92,726190
2097,109.28,35.84,229160.16,75156.48,154003.68
4214,255.28,159.42,1075749.92,671795.88,403954.04
9296,205.7,117.11,1912187.2,1088654.56,823532.64
6566,651.21,524.96,4275844.86,3446887.36,828957.5
2279,152.58,97.44,347729.82,222065.76,125664.06
4722,421.89,364.69,1992164.58,1722066.18,270098.4
9211,437.2,263.33,4027049.2,2425532.63,1601516.57
3096,47.45,31.79,146905.2,98421.84,48483.36
756,9.33,6.92,7053.48,5231.52,1821.96
8602,205.7,117.11,1769431.4,1007380.22,762051.18
76,109.28,35.84,8305.28,2723.84,5581.44
653,205.7,117.11,134322.1,76472.83,57849.27
2838,9.33,6.92,26478.54,19638.96,6839.58
1165,152.58,97.44,177755.7,113517.6,64238.1
7204,255.28,159.42,1839037.12,1148461.68,690575.44
4551,205.7,117.11,936140.7,532967.61,403173.09
3838,255.28,159.42,979764.64,611853.96,367910.68
7726,437.2,263.33,3377807.2,2034487.58,1343319.62
5906,205.7,117.11,1214864.2,691651.66,523212.54
102,437.2,263.33,44594.4,26859.66,17734.74
9070,152.58,97.44,1383900.6,883780.8,500119.8
3595,205.7,117.11,739491.5,421010.45,318481.05
1495,154.06,90.93,230319.7,135940.35,94379.35
2618,81.73,56.67,213969.14,148362.06,65607.08
3845,152.58,97.44,586670.1,374656.8,212013.3
4086,255.28,159.42,1043074.08,651390.12,391683.96
9284,255.28,159.42,2370019.52,1480055.28,889964.24
7412,421.89,364.69,3127048.68,2703082.28,423966.4
3476,154.06,90.93,535512.56,316072.68,219439.88
4511,255.28,159.42,1151568.08,719143.62,432424.46
4585,437.2,263.33,2004562,1207368.05,797193.95
9796,205.7,117.11,2015037.2,1147209.56,867827.64
3275,651.21,524.96,2132712.75,1719244,413468.75
182,154.06,90.93,28038.92,16549.26,11489.66
2710,205.7,117.11,557447,317368.1,240078.9
5083,109.28,35.84,555470.24,182174.72,373295.52
8555,421.89,364.69,3609268.95,3119922.95,489346
6413,9.33,6.92,59833.29,44377.96,15455.33
8973,255.28,159.42,2290627.44,1430475.66,860151.78
8586,421.89,364.69,3622347.54,3131228.34,491119.2
4629,668.27,502.54,3093421.83,2326257.66,767164.17
8515,47.45,31.79,404036.75,270691.85,133344.9
8686,437.2,263.33,3797519.2,2287284.38,1510234.82
5616,668.27,502.54,3753004.32,2822264.64,930739.68
6809,205.7,117.11,1400611.3,797401.99,603209.31
1801,668.27,502.54,1203554.27,905074.54,298479.73
7161,109.28,35.84,782554.08,256650.24,525903.84
1486,421.89,364.69,626928.54,541929.34,84999.2
407,205.7,117.11,83719.9,47663.77,36056.13
1584,81.73,56.67,129460.32,89765.28,39695.04
9711,255.28,159.42,2479024.08,1548127.62,930896.46
1510,205.7,117.11,310607,176836.1,133770.9
736,47.45,31.79,34923.2,23397.44,11525.76
3176,47.45,31.79,150701.2,100965.04,49736.16
1647,205.7,117.11,338787.9,192880.17,145907.73
998,109.28,35.84,109061.44,35768.32,73293.12
3109,668.27,502.54,2077651.43,1562396.86,515254.57
1890,255.28,159.42,482479.2,301303.8,181175.4
8284,9.33,6.92,77289.72,57325.28,19964.44
5265,109.28,35.84,575359.2,188697.6,386661.6
2837,81.73,56.67,231868.01,160772.79,71095.22
3037,47.45,31.79,144105.65,96546.23,47559.42
4933,152.58,97.44,752677.14,480671.52,272005.62
9622,437.2,263.33,4206738.4,2533761.26,1672977.14
5234,47.45,31.79,248353.3,166388.86,81964.44
1932,47.45,31.79,91673.4,61418.28,30255.12
6906,152.58,97.44,1053717.48,672920.64,380796.84
9381,154.06,90.93,1445236.86,853014.33,592222.53
5612,255.28,159.42,1432631.36,894665.04,537966.32
3885,9.33,6.92,36247.05,26884.2,9362.85
9517,81.73,56.67,777824.41,539328.39,238496.02
9856,154.06,90.93,1518415.36,896206.08,622209.28
9284,152.58,97.44,1416552.72,904632.96,511919.76
4210,205.7,117.11,865997,493033.1,372963.9
8077,154.06,90.93,1244342.62,734441.61,509901.01
6359,81.73,56.67,519721.07,360364.53,159356.54
1561,109.28,35.84,170586.08,55946.24,114639.84
8219,109.28,35.84,898172.32,294568.96,603603.36
7900,154.06,90.93,1217074,718347,498727
4202,437.2,263.33,1837114.4,1106512.66,730601.74
7757,255.28,159.42,1980206.96,1236620.94,743586.02
1224,154.06,90.93,188569.44,111298.32,77271.12
4297,668.27,502.54,2871556.19,2159414.38,712141.81
8698,154.06,90.93,1340013.88,790909.14,549104.74
3184,109.28,35.84,347947.52,114114.56,233832.96
8539,205.7,117.11,1756472.3,1000002.29,756470.01
2581,81.73,56.67,210945.13,146265.27,64679.86
5160,9.33,6.92,48142.8,35707.2,12435.6
3154,9.33,6.92,29426.82,21825.68,7601.14
5475,9.33,6.92,51081.75,37887,13194.75
8066,651.21,524.96,5252659.86,4234327.36,1018332.5
8899,9.33,6.92,83027.67,61581.08,21446.59
2980,668.27,502.54,1991444.6,1497569.2,493875.4
7345,205.7,117.11,1510866.5,860172.95,650693.55
6062,9.33,6.92,56558.46,41949.04,14609.42
5229,421.89,364.69,2206062.81,1906964.01,299098.8
7975,9.33,6.92,74406.75,55187,19219.75
9462,109.28,35.84,1034007.36,339118.08,694889.28
1883,651.21,524.96,1226228.43,988499.68,237728.75
9461,437.2,263.33,4136349.2,2491365.13,1644984.07
3451,9.33,6.92,32197.83,23880.92,8316.91
7138,421.89,364.69,3011450.82,2603157.22,408293.6
841,255.28,159.42,214690.48,134072.22,80618.26
6909,421.89,364.69,2914838.01,2519643.21,395194.8
4720,152.58,97.44,720177.6,459916.8,260260.8
5686,81.73,56.67,464716.78,322225.62,142491.16
8249,651.21,524.96,5371831.29,4330395.04,1041436.25
2884,109.28,35.84,315163.52,103362.56,211800.96
7095,9.33,6.92,66196.35,49097.4,17098.95
417,205.7,117.11,85776.9,48834.87,36942.03
9420,668.27,502.54,6295103.4,4733926.8,1561176.6
2700,437.2,263.33,1180440,710991,469449
5888,668.27,502.54,3934773.76,2958955.52,975818.24
6646,154.06,90.93,1023882.76,604320.78,419561.98
9665,205.7,117.11,1988090.5,1131868.15,856222.35
1669,152.58,97.44,254656.02,162627.36,92028.66
6413,651.21,524.96,4176209.73,3366568.48,809641.25
9683,421.89,364.69,4085160.87,3531293.27,553867.6
4297,47.45,31.79,203892.65,136601.63,67291.02
5103,205.7,117.11,1049687.1,597612.33,452074.77
3981,668.27,502.54,2660382.87,2000611.74,659771.13
4842,47.45,31.79,229752.9,153927.18,75825.72
8629,154.06,90.93,1329383.74,784634.97,544748.77
8314,205.7,117.11,1710189.8,973652.54,736537.26
3904,421.89,364.69,1647058.56,1423749.76,223308.8
7435,81.73,56.67,607662.55,421341.45,186321.1
7973,421.89,364.69,3363728.97,2907673.37,456055.6
6617,205.7,117.11,1361116.9,774916.87,586200.03
1497,154.06,90.93,230627.82,136122.21,94505.61
2774,47.45,31.79,131626.3,88185.46,43440.84
7641,109.28,35.84,835008.48,273853.44,561155.04
5322,154.06,90.93,819907.32,483929.46,335977.86
2070,154.06,90.93,318904.2,188225.1,130679.1
6173,205.7,117.11,1269786.1,722920.03,546866.07
2947,9.33,6.92,27495.51,20393.24,7102.27
9742,255.28,159.42,2486937.76,1553069.64,933868.12
937,81.73,56.67,76581.01,53099.79,23481.22
2943,154.06,90.93,453398.58,267606.99,185791.59
9203,437.2,263.33,4023551.6,2423425.99,1600125.61
5190,9.33,6.92,48422.7,35914.8,12507.9
3410,421.89,364.69,1438644.9,1243592.9,195052
8397,109.28,35.84,917624.16,300948.48,616675.68
1721,152.58,97.44,262590.18,167694.24,94895.94
6979,651.21,524.96,4544794.59,3663695.84,881098.75
4801,437.2,263.33,2098997.2,1264247.33,834749.87
7848,668.27,502.54,5244582.96,3943933.92,1300649.04
